item,itemLabel,startDate,endDate,psid
Q103067242,Randolph G. K. Tan,2011-10-10,2015-08-25,Q103067242-4C0C5608-5817-41CE-8C27-202AF18BE916
Q110897619,K. Karthikeyan,2011-10-10,2015-08-25,Q110897619-061C0998-9052-4B15-A7C0-86251EEC193B
Q110897621,Laurence Lien Tsung Chern,2011-10-10,2015-08-25,Q110897621-4F030EF8-EA4C-4F7B-8466-ECA291E56FD1
Q110897623,Mary Liew Kiah Eng,2011-10-10,2015-08-25,Q110897623-E37DDD57-43D6-4AC2-AA9E-5A7A4579A47D
Q110897627,Mohd Ismail bin Hussein,2011-10-10,2015-08-25,Q110897627-94CBC2F9-20C3-4814-AE0A-3F5143FA1294
Q110897628,Nicholas Fang Kuo Wei,2011-10-10,2015-08-25,Q110897628-BB11A5FA-FF2E-40B1-8027-EBDE3A8BE063
Q110897630,Ramasamy Dhinakaran,2011-10-10,2015-08-25,Q110897630-E6B6E153-5B36-4D01-8609-9344E6F55616
Q110897638,Rita Soh Siow Lan,2011-10-10,2015-08-25,Q110897638-8D6E0950-5D39-4ED2-ACFE-199C77552D32
Q110897639,Tan Su Shan,2011-10-10,2015-08-25,Q110897639-2202C04C-8A46-4F0C-B1CF-2EAFA2085701
Q131248,Lee Kuan Yew,2011-10-10,2015-08-25,Q131248-EC85E96F-24D3-40E0-BA93-C308E5DDE031
Q14950534,Lee Bee Wah,2011-10-10,2015-08-25,Q14950534-6F6E7421-3F13-4D1F-86C4-84CAEFC50162
Q15082672,Cedric Foo,2011-10-10,2015-08-25,Q15082672-3EE524DE-8183-4B0F-B7AE-4B149F783E40
Q15122247,Gan Thiam Poh,2011-10-10,2015-08-25,Q15122247-C09A1C88-6810-40BC-8183-B9256324E93F
Q15131896,Ang Hin Kee,2011-10-10,2015-08-25,Q15131896-66161F37-55C4-46DB-8CC9-383392449932
Q16136702,Lina Loh,2011-10-10,2015-08-25,Q16136702-B3197B8D-A755-4368-8461-5598F2F1FF70
Q16146711,Ang Wei Neng,2011-10-10,2015-08-25,Q16146711-BFBB7D6F-DF2C-4D93-8A5E-47432F883FD9
Q16185445,Lily Neo,2011-10-10,2015-08-25,Q16185445-54F08A8E-6816-44F7-97C2-1C8E8CE250F1
Q16189029,Ellen Lee,2011-10-10,2015-08-25,Q16189029-230755C9-34C8-4F79-BFD7-F1C9853B0810
Q16193659,Faizah Jamal,2011-10-10,2015-08-25,Q16193659-768CC56A-F148-4CEE-8233-ED1BB2DD9D37
Q16194240,David Ong,2011-10-10,2015-08-25,Q16194240-3FD46F00-7D6E-4153-9470-EC3B6DEF2C1F
Q16195647,Liang Eng Hwa,2011-10-10,2015-08-25,Q16195647-D072FBCB-90F2-4A39-A5E8-B7BB91F38E62
Q16197159,Penny Low,2011-10-10,2015-08-25,Q16197159-79B9081F-12C8-4215-8181-7B5FF34188DD
Q16204683,Josephine Teo,2011-10-10,2015-08-25,Q16204683-819ED103-972F-4998-A616-BF5DC4AA0942
Q16213804,Patrick Tay,2011-10-10,2015-08-25,Q16213804-B9B2ECC6-BFA5-4FE6-BE6F-F9DC22EF72AB
Q16214961,Low Yen Ling,2011-10-10,2015-08-25,Q16214961-44AD5DCE-AF98-475A-A0CA-06EF2E750006
Q16215002,Zaqy Mohamad,2011-10-10,2015-08-25,Q16215002-40721B50-6FC7-4C14-8571-D61F2DC121F6
Q16215442,Muhamad Faisal Manap,2011-10-10,2015-08-25,Q16215442-E4CAD64E-98A5-4DC1-A86B-4D7BCFDB8E4C
Q16215886,Desmond Lee,2011-10-10,2015-08-25,Q16215886-757A08AC-C677-49D1-AF26-DE39D4F1900C
Q16216181,Yaw Shin Leong,2011-10-10,2015-08-25,Q16216181-17D71706-6FE8-4B36-A320-D3B7A5F34A8C
Q16221695,Alex Yam,2011-10-10,2015-08-25,Q16221695-4E619016-B9E0-4263-968D-EBD8A38FCAB0
Q16730956,Janice Koh,2011-10-10,2015-08-25,Q16730956-3BEC99BB-1EDD-4CCF-8C4D-9983526DE1D4
Q16926847,Muhammad Faishal Ibrahim,2011-10-10,2015-08-25,Q16926847-833F4117-873D-4222-A5B5-31EEBB1CCED2
Q17152348,Zainal Sapari,2011-10-10,2015-08-25,Q17152348-4A498ED3-C25A-4215-BED0-49AB07A74670
Q17722375,Masagos Zulkifli,2011-10-10,2015-08-25,Q17722375-6C0C5FED-6209-4F17-9E9E-476EABD69DAA
