item,itemLabel,startDate,endDate
Q3846565,Chen Show Mao,2016-01-15,2020-06-23
Q713945,Sylvia Lim,2016-01-15,2020-06-23
Q713940,Low Thia Khiang,2016-01-15,2020-06-23
Q16215442,Muhamad Faisal Manap,2016-01-15,2020-06-23
Q7245929,Pritam Singh,2016-01-15,2020-06-23
Q15131896,Ang Hin Kee,2016-01-15,2020-06-23
Q20979710,Darryl David,2016-01-15,2020-06-23
Q15122247,Gan Thiam Poh,2016-01-15,2020-06-23
Q18687930,Intan Azura Mokhtar,2016-01-15,2020-06-23
Q6425864,Koh Poh Koon,2016-01-15,2020-06-23
Q57643,Lee Hsien Loong,2016-01-15,2020-06-23
Q20983254,Chee Hong Tat,2016-01-15,2020-06-23
Q55753587,Chong Kee Hiong,2016-01-15,2020-06-23
Q1984113,Ng Eng Hen,2016-01-15,2020-06-23
Q20990655,Saktiandi Supaat,2016-01-15,2020-06-23
Q16204683,Josephine Teo,2016-01-15,2020-06-23
Q5520446,Gan Kim Yong,2016-01-15,2020-06-23
Q16214961,Low Yen Ling,2016-01-15,2020-06-23
,Yee Chia Hsing,2016-01-15,2020-06-23
Q16215002,Zaqy Mohamad,2016-01-15,2020-06-23
Q1812042,Lee Yi Shyan,2016-01-15,2020-06-23
Q6548759,Lim Swee Say,2016-01-15,2020-06-23
Q6743667,Maliki Osman,2016-01-15,2020-06-23
Q6187512,Jessica Tan,2016-01-15,2020-06-23
Q5113490,Christopher de Souza,2016-01-15,2020-06-23
Q16195647,Liang Eng Hwa,2016-01-15,2020-06-23
Q7517250,Sim Ann,2016-01-15,2020-06-23
Q7937671,Vivian Balakrishnan,2016-01-15,2020-06-23
Q5714190,Heng Chee How,2016-01-15,2020-06-23
Q16185445,Lily Neo,2016-01-15,2020-06-23
Q5257739,Denise Phua,2016-01-15,2020-06-23
Q7463219,Yaacob Ibrahim,2016-01-15,2020-06-23
Q16146711,Ang Wei Neng,2016-01-15,2020-06-23
Q16215886,Desmond Lee,2016-01-15,2020-06-23
Q20990654,Rahayu Mahzam,2016-01-15,2020-06-23
Q983752,Tharman Shanmugaratnam,2016-01-15,2020-06-23
Q20983937,Tan Wu Meng,2016-01-15,2020-06-23
Q20990652,Fatimah Lateef,2016-01-15,2020-06-23
Q313300,Goh Chok Tong,2016-01-15,2020-06-23
Q55752957,Seah Kian Peng,2016-01-15,2020-06-23
Q7682037,Tan Chuan-Jin,2016-01-15,2020-06-23
Q5346875,Edwin Tong,2016-01-15,2020-06-23
,Ong Teng Koon,2016-01-15,2020-06-23
Q6504758,Lawrence Wong,2016-01-15,2020-06-23
Q16221695,Alex Yam,2016-01-15,2020-06-23
Q5642345,Halimah Yacob,2016-01-15,2020-06-23
Q16926847,Muhammad Faishal Ibrahim,2016-01-15,2020-06-23
Q21663168,Henry Kwek,2016-01-15,2020-06-23
Q14950534,Lee Bee Wah,2016-01-15,2020-06-23
Q22007161,Louis Ng,2016-01-15,2020-06-23
Q6324008,K. Shanmugam,2016-01-15,2020-06-23
Q15410291,Ng Chee Meng,2016-01-15,2020-06-23
Q6154464,Janil Puthucheary,2016-01-15,2020-06-23
Q23772395,Sun Xueling,2016-01-15,2020-06-23
Q3518218,Teo Chee Hean,2016-01-15,2020-06-23
Q7700989,Teo Ser Luck,2016-01-15,2020-06-23
Q17152348,Zainal Sapari,2016-01-15,2020-06-23
Q20966075,Amrin Amin,2016-01-15,2020-06-23
Q4354964,Khaw Boon Wan,2016-01-15,2020-06-23
Q55753594,Lim Wee Kiak,2016-01-15,2020-06-23
Q7093820,Ong Ye Kung,2016-01-15,2020-06-23
Q7929569,Vikram Nair,2016-01-15,2020-06-23
Q4841314,Baey Yam Keng,2016-01-15,2020-06-23
Q20983255,Cheng Li Hui,2016-01-15,2020-06-23
Q5264684,Desmond Choo,2016-01-15,2020-06-23
Q5714209,Heng Swee Keat,2016-01-15,2020-06-23
Q17722375,Masagos Zulkifli,2016-01-15,2020-06-23
Q5070296,Chan Chun Sing,2016-01-15,2020-06-23
Q28415107,Chia Shi-Lu,2016-01-15,2020-06-23
Q6026908,Indranee Rajah,2016-01-15,2020-06-23
Q23772394,Joan Pereira,2016-01-15,2020-06-23
Q23416672,Melvin Yong,2016-01-15,2020-06-23
Q5465241,Foo Mee Har,2016-01-15,2020-06-23
Q7387540,S. Iswaran,2016-01-15,2020-06-23
Q6548691,Lim Hng Kiang,2016-01-15,2020-06-23
Q16213804,Patrick Tay,2016-01-15,2020-06-23
Q16194240,David Ong,2016-01-15,2020-06-23
Q7700981,Teo Ho Pin,2016-01-15,2020-06-23
Q22003605,Cheryl Chan,2016-01-15,2020-06-23
Q4749263,Amy Khor,2016-01-15,2020-06-23
Q7206019,Png Eng Huat,2016-01-15,2020-06-23
Q7807793,Tin Pei Ling,2016-01-15,2020-06-23
Q6548656,Lim Biow Chuan,2016-01-15,2020-06-23
Q15082672,Cedric Foo,2016-01-15,2020-06-23
Q7531986,Sitoh Yih Pin,2016-01-15,2020-06-23
Q5076232,Charles Chong,2016-01-15,2020-06-23
Q7408232,Sam Tan,2016-01-15,2020-06-23
Q6480680,Lam Pin Min,2016-01-15,2020-06-23
Q5591179,Grace Fu,2016-01-15,2020-06-23
Q20983484,Leon Perera,2016-01-15,2020-06-23
Q55767889,Dennis Tan,2016-01-15,2020-06-23
Q42212002,Daniel Goh,2016-01-15,2020-06-23
,Azmoon Ahmad,2016-01-15,2020-06-23
Q20983840,Chia Yong Yong,2016-01-15,2020-06-23
,Thomas Chua Kee Seng,2016-01-15,2020-06-23
